t,msg_type,payload
1773704294.7748263,ReferenceFreqMsg,"{'t': 1773704294.7748263, 'f_ref': 7.5}"
1773704294.7767115,ReferenceFreqMsg,"{'t': 1773704294.7767115, 'f_ref': 7.5}"
1773704294.7784956,ReferenceFreqMsg,"{'t': 1773704294.7784956, 'f_ref': 7.5}"
1773704294.7805114,ReferenceFreqMsg,"{'t': 1773704294.7805114, 'f_ref': 7.5}"
1773704294.7819915,ReferenceFreqMsg,"{'t': 1773704294.7819915, 'f_ref': 7.5}"
1773704294.7833328,ReferenceFreqMsg,"{'t': 1773704294.7833328, 'f_ref': 7.5}"
1773704294.785015,ReferenceFreqMsg,"{'t': 1773704294.785015, 'f_ref': 7.5}"
1773704294.7868028,ReferenceFreqMsg,"{'t': 1773704294.7868028, 'f_ref': 7.5}"
1773704294.7885592,ReferenceFreqMsg,"{'t': 1773704294.7885592, 'f_ref': 7.5}"
1773704294.7900817,ReferenceFreqMsg,"{'t': 1773704294.7900817, 'f_ref': 7.5}"
1773704294.7915564,ReferenceFreqMsg,"{'t': 1773704294.7915564, 'f_ref': 7.5}"
1773704294.7933874,ReferenceFreqMsg,"{'t': 1773704294.7933874, 'f_ref': 7.5}"
1773704294.79491,ReferenceFreqMsg,"{'t': 1773704294.79491, 'f_ref': 7.5}"
1773704294.7966537,ReferenceFreqMsg,"{'t': 1773704294.7966537, 'f_ref': 7.5}"
1773704294.79861,ReferenceFreqMsg,"{'t': 1773704294.79861, 'f_ref': 7.5}"
1773704294.8001058,ReferenceFreqMsg,"{'t': 1773704294.8001058, 'f_ref': 7.5}"
1773704294.8016107,ReferenceFreqMsg,"{'t': 1773704294.8016107, 'f_ref': 7.5}"
1773704294.8032074,ReferenceFreqMsg,"{'t': 1773704294.8032074, 'f_ref': 7.5}"
1773704294.8048253,ReferenceFreqMsg,"{'t': 1773704294.8048253, 'f_ref': 7.5}"
1773704294.8064768,ReferenceFreqMsg,"{'t': 1773704294.8064768, 'f_ref': 7.5}"
